,average_price,total_volume,type,year,geography
0,1.22,40873.28,conventional,2015,Albany
1,1.79,1373.95,organic,2015,Albany
2,1.0,435021.49,conventional,2015,Atlanta
3,1.76,3846.69,organic,2015,Atlanta
4,1.08,788025.06,conventional,2015,Baltimore/Washington
5,1.29,19137.28,organic,2015,Baltimore/Washington
6,1.01,80034.32,conventional,2015,Boise
7,1.64,1505.12,organic,2015,Boise
8,1.02,491738.0,conventional,2015,Boston
9,1.83,2192.13,organic,2015,Boston
10,1.4,116253.44,conventional,2015,Buffalo/Rochester
11,1.73,379.82,organic,2015,Buffalo/Rochester
12,0.93,5777334.9,conventional,2015,California
13,1.24,142349.77,organic,2015,California
14,1.19,166006.29,conventional,2015,Charlotte
15,2.13,2965.62,organic,2015,Charlotte
16,1.11,783068.03,conventional,2015,Chicago
17,1.49,17723.17,organic,2015,Chicago
18,0.88,228569.58,conventional,2015,Cincinnati/Dayton
19,1.34,8764.33,organic,2015,Cincinnati/Dayton
20,0.89,158638.04,conventional,2015,Columbus
21,1.44,3930.94,organic,2015,Columbus
22,0.74,1086363.97,conventional,2015,Dallas/Ft. Worth
23,1.35,9895.96,organic,2015,Dallas/Ft. Worth
24,0.99,668086.0,conventional,2015,Denver
25,1.42,22480.07,organic,2015,Denver
26,1.01,369694.27,conventional,2015,Detroit
27,1.7,7446.43,organic,2015,Detroit
28,0.95,258979.63,conventional,2015,Grand Rapids
29,1.6,1012.61,organic,2015,Grand Rapids
30,1.02,3382800.12,conventional,2015,Great Lakes
31,1.54,61615.1,organic,2015,Great Lakes
32,1.05,203939.14,conventional,2015,Harrisburg/Scranton
33,1.68,2896.72,organic,2015,Harrisburg/Scranton
34,1.06,332208.14,conventional,2015,Hartford/Springfield
35,2.32,4801.1,organic,2015,Hartford/Springfield
36,0.71,1062990.62,conventional,2015,Houston
37,1.22,8938.32,organic,2015,Houston
38,1.02,160130.15,conventional,2015,Indianapolis
39,1.63,1780.6,organic,2015,Indianapolis
40,0.97,153506.84,conventional,2015,Jacksonville
41,1.81,1381.31,organic,2015,Jacksonville
42,0.8,317861.35,conventional,2015,Las Vegas
43,1.5,6329.83,organic,2015,Las Vegas
44,0.85,2682159.95,conventional,2015,Los Angeles
45,1.25,54495.54,organic,2015,Los Angeles
46,0.92,101162.98,conventional,2015,Louisville
47,1.48,1395.75,organic,2015,Louisville
48,0.97,540234.22,conventional,2015,Miami/Ft. Lauderdale
49,1.82,2288.44,organic,2015,Miami/Ft. Lauderdale
50,1.1,2578275.12,conventional,2015,Midsouth
51,1.56,58065.35,organic,2015,Midsouth
52,1.0,162162.75,conventional,2015,Nashville
53,1.84,3966.0,organic,2015,Nashville
54,0.94,222751.51,conventional,2015,New Orleans/Mobile
55,1.41,2604.25,organic,2015,New Orleans/Mobile
56,1.09,1402890.2,conventional,2015,New York
57,1.93,17328.24,organic,2015,New York
58,1.09,3759282.62,conventional,2015,Northeast
59,1.88,48280.46,organic,2015,Northeast
